search_role,title,company,location,state,salary,experience_required,description,updated,link,skills_auto,is_core_data_role
data analyst,Business Analyst,Metizsoft Solutions Private Limited.,India,N/A,Not disclosed,Not mentioned,"# Partner with stakeholders across business units (ex: sales, finance, security, compliance) to develop analyses and documentation in a collaborative way, communicating effectively and efficiently with production, managerial, and executive teams 
# Evaluate, analyze, and...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/646005223803491670,Not mentioned,True
data analyst,Business Analyst,Excellent Webworld,India,N/A,Not disclosed,Not mentioned,"...business requirements  from stakeholders. 
# Translate business needs into  functional and technical specifications  . 
# Conduct   data  analysis  to support decision-making and strategy. 
# Create and maintain  Business Requirement Documents (BRD) ,  Functional...",2025-10-31T00:00:00.0000000,https://jooble.org/jdp/-861446661959464159,"ai, data, maintain",True
data analyst,Business Analyst,Eplanet Soft - EP Soft Pvt. Ltd.,India,N/A,Not disclosed,Not mentioned,"...testing  , and  project management  teams to ensure requirement alignment. 
# Create  process flow diagrams  ,  wireframes  , and   data  models  to illustrate business processes. 
# Support project teams in implementing business solutions and monitor project progress....",2025-10-31T00:00:00.0000000,https://jooble.org/jdp/5356822513328951885,"data, monitor project",True
data analyst,Business Analyst,Kody Technolab Ltd.,India,N/A,Not disclosed,Not mentioned,"...stakeholders. 
# Monitor project progress and report issues, risks, and performance metrics. 
# Provide  business insights  through  data  analysis and reporting. 
# Ensure that all deliverables meet  quality standards  and align with organizational objectives....",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/6904319662840601289,"data, monitor project",True
data analyst,Business Analyst,Samosys Technologies Pvt. Ltd.,India,N/A,Not disclosed,Not mentioned,"...workflow diagrams, and use cases  . 
# Translate business requirements into  technical requirements  for development teams. 
# Conduct   data  analysis  and generate reports to support decision-making. 
# Participate in  Agile/Scrum ceremonies  and maintain product backlog....",2025-10-30T00:00:00.0000000,https://jooble.org/jdp/-3599561353491869355,"ai, data, maintain",True
data analyst,Research Analyst,Mindcog,India,N/A,Not disclosed,Not mentioned,"...research on education trends, competitors, and market opportunities. 
# Collect, organize, and analyze quantitative and qualitative  data.  
# Prepare reports, presentations, and dashboards to summarize findings. 
# Support decision-making by providing actionable...",2025-11-01T00:00:00.0000000,https://jooble.org/jdp/-4614575503069517563,data,False
data analyst,Quality Analyst,AirVincible,India,N/A,Not disclosed,Not mentioned,"#Conduct manual or automated testing of products, software, or processes. 
# Identify, document, and track bugs or quality issues. 
# Collaborate with developers, designers, and production teams to resolve issues. 
# Develop and execute test plans, test cases, and test...",2025-11-03T17:35:24.7000000,https://jooble.org/jdp/1538122770222398748,Not mentioned,False
data analyst,Quality Analyst,Esferasoft Solutions Pvt. Ltd.,India,N/A,Not disclosed,Not mentioned,"# Analyze business and technical requirements to design effective  test plans and test cases  . 
# Perform  manual and/or automated testing  of software applications. 
# Identify, record, and track software defects using tools like  JIRA, Bugzilla, or Trello  . 
# Conduct...",2025-10-28T15:52:55.8470000,https://jooble.org/jdp/-4473524198979849600,Not mentioned,False
data analyst,Quality Analyst,WeyBee Solutions Pvt Ltd,India,N/A,Not disclosed,Not mentioned,"# Analyze software requirements and functional specifications to create detailed  test plans and test cases  . 
# Execute  manual and automated testing  to validate software functionality and performance. 
# Identify, document, and track  defects  using tools like  JIRA...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/3952394690241369976,"ai, create detailed, detailed",False
data analyst,Quality Analyst,Variance InfoTech Pvt Ltd.,India,N/A,Not disclosed,Not mentioned,"# Analyze requirements and prepare detailed  test plans  ,  test cases  , and  test scripts  . 
# Conduct  manual  and/or  automated testing  to identify software defects and inconsistencies. 
# Execute different types of testing such as  functional, regression, integration...",2025-11-01T16:50:21.1770000,https://jooble.org/jdp/-2795316168933705301,"ai, detailed, prepare detailed",False
data analyst,Sr. Quality Analyst - Automation,Krish TechnoLabs Private Limited,India,N/A,Not disclosed,Not mentioned,"...results, and track defects in  JIRA, TestRail, or similar tools  . 
# Collaborate with  developers, product managers, and business  analysts   to define test requirements and ensure quality standards. 
# Conduct  root cause analysis  for defects and provide...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/-3292101184452200200,ai,False
data analyst,Quality Analyst,Krish TechnoLabs Private Limited,India,N/A,Not disclosed,Not mentioned,"...bugs and defects  using tools like  JIRA, Bugzilla, or Trello  . 
# Collaborate with  developers, product managers, and business  analysts   to ensure quality requirements are met. 
# Conduct  root cause analysis  of defects and recommend solutions. 
# Implement  test...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/6782190775149186616,Not mentioned,False
data analyst,Senior Data Engineer (Integrations),jobgether,India,N/A,Not disclosed,Not mentioned,"...behalf of a partner company. We are currently looking for a Senior  Data  Engineer Integrations in India. 
 In this role, you will help...  ...and stability. You will collaborate closely with engineers,  analysts,  and product teams in a remote-first, high-autonomy environment....",2025-12-24T04:30:20.1530000,https://jooble.org/jdp/1604403563455432858,"ability, bi, data, partner company, stability",True
data analyst,Data Engineer - REMOTE,jobgether,India,N/A,Not disclosed,Not mentioned,"...This position is posted by Jobgether on behalf of a partner company. We are currently looking for a  Data  Engineer. In this role, you will be key in building and managing data pipelines that unify fragmented data sources into a cohesive Microsoft data platform. Your work...",2026-01-01T03:09:59.4670000,https://jooble.org/jdp/-3433878560812607432,"data, data pipelines, data sources, partner company, pipeline, pipelines",True
data analyst,Engineer - Data Warehouse Operations,Dish,India,N/A,Not disclosed,Not mentioned,"...consumers with the products and platforms of tomorrow. 
 Job Duties and Responsibilities 
 Provide 24/7 production support for the  Data  Warehousing account. 
 Monitor Control-m jobs. 
 Fix production job failures. 
 Coordinate with other admin teams to address...",2025-11-25T18:42:36.2700000,https://jooble.org/jdp/-3877217230025203528,"ai, bi, data, failures, responsibilities",True
data analyst,Senior Quality Analyst Lead,WeyBee Solutions Pvt Ltd,India,N/A,Not disclosed,Not mentioned,"# Lead and manage a team of Quality  Analysts  and Test Engineers. 
# Define, implement, and continuously improve QA processes, methodologies, and best practices. 
# Design and execute test strategies for web, mobile, and enterprise applications. 
# Drive both  manual...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/-6658384191733493003,"bi, mobile",False
data analyst,Quality Control Analyst II,Teva Pharmaceutical Industries Ltd.,India,N/A,Not disclosed,Not mentioned,"...MTR), Method of analysis (MTH), Standard Testing Procedure, Test  Data  Sheet (TDS) for Stability Analysis, Method transfer and Method...  ...with current guidelines. Review of departmental SOP’s, training of  analysts  and other technical staff and review validation of data transfer...",2025-12-19T07:49:17.5270000,https://jooble.org/jdp/-1977610831442693323,"ability, ai, bi, data, stability, train, training",False
data analyst,Data Analytics Engineer (Power BI) - REMOTE,jobgether,India,N/A,Not disclosed,Not mentioned,"...This position is posted by Jobgether on behalf of a partner company. We are currently looking for a  Data  Analytics Engineer (Power BI). In this role, you will play a vital part in transforming complex data into actionable insights. Working on a remote basis, you will...",2025-12-30T03:52:05.7700000,https://jooble.org/jdp/2089847585509181149,"bi, data, partner company, power, power bi",True
data analyst,Senior Data Analytics Engineer,Dish,India,N/A,Not disclosed,Not mentioned,"...technical expertise in Wireless Analytics 
 Understand business needs and analytics product offerings to design and build 
 Design  data  and analytics solutions in Snowflake 
 Analyze business and technical requirements 
 Quickly build prototypes to test out proof-of...",2025-12-29T06:37:26.9000000,https://jooble.org/jdp/2953719660144030477,data,True
data analyst,Data Analytics Engineer,White Force Outsourcing Pvt Ltd,India,N/A,Not disclosed,3 years,"...Job Title :  Data  Analytics Engineer 
 Location : Hyderabad 
 Experience : 3 Years 
 Employment Type : Full-time 
 Joining : Immediate 
 About the Role : 
 We are looking for a Data Analytics Engineer who has strong hands-on experience in process 
 mining, SQL,...",2025-12-03T17:58:52.0170000,https://jooble.org/jdp/4411225951270546937,"data, data analytics, sql",True
data analyst,Applications Systems Analyst I,State of North Carolina,India,N/A,$67.9k - $101.85k,Not mentioned,"Applications Systems  Analyst  I Location Hybrid work in Wake County, NC :  Description of Work  Are you ready to take the next step in your...  ...the implementation of thoughtful, practical, innovative and  data- driven strategies. We are an Employment First state, ensuring that...",2026-01-03T00:00:00.0000000,https://jooble.org/jdp/8521504069443679496,data,False
data analyst,Data Entry Operator,Gmware,India,N/A,Not disclosed,Not mentioned,"# Enter and update  data  into computer systems, spreadsheets, and databases. 
# Verify and correct data discrepancies before entering. 
# Maintain accurate and up-to-date records. 
# Prepare and generate reports as required. 
# Scan, organize, and file documents (digital...",2025-11-01T16:50:27.8400000,https://jooble.org/jdp/-1626720388089034796,"ai, data, database, databases, digital, git, maintain",True
data analyst,Data Entry Operator,White Force Outsourcing Pvt Ltd,India,N/A,Not disclosed,Not mentioned,"...Job Title -  Data  entry operator 
 Qualification :- Any 
 Experience : Fresher 
 Job location :- Godown No. 2, Punjab Foundry Compound, Opp. Classic Studio, Kasimira, Mira Bhayandar Road, Kashimira, Mira Road East, Thane, Maharashtra 401107

 : 

 Technical Skills...",2026-01-03T20:38:17.0200000,https://jooble.org/jdp/-232609330914567234,data,True
data analyst,Data Entry Operator,Imperial Corporation,India,N/A,$96k - $120k,Not mentioned,"...Input  data  into systems and databases from various sources 
 Verify and correct data where necessary 
 Prepare and sort documents for data entry 
 Generate and maintain reports and records 
 Ensure data is backed up and securely stored 
 Maintain confidentiality...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/1114123178233615752,"ai, data, database, databases, ensure data, maintain",True
data analyst,Data Entry Operator,Devikrupa Brass Industries,India,N/A,Not disclosed,Not mentioned,"Key Responsibilities: 
# Coordinate and oversee daily administrative activities, ensuring efficient office operations. 
# Maintain company records, including production logs, material inventories, and personnel files. 
# Prepare reports, memos, and other documents related...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/-1867913386305449246,"ai, bi, daily, key responsibilities, maintain, responsibilities",True
data analyst,Technical Staff,Imperial Corporation,India,N/A,Not disclosed,Not mentioned,"# Provide day-to-day technical support for equipment, systems, or infrastructure. 
# Perform routine maintenance and inspections of machinery, tools, or devices. 
# Assist in installing, configuring, and testing hardware/software (for IT roles). 
# Troubleshoot and resolve...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/3888665200557946929,"ai, maintenance",False
data analyst,Technical Assistant,Cadila Pharmaceuticals Limited,India,N/A,Not disclosed,Not mentioned,"...Maintain records of technical documentation, reports, and equipment inventory. 
# Help prepare technical presentations, manuals, or  data  reports. 
# Coordinate with vendors or service providers for repairs or installations. 
# Ensure compliance with safety and...",2025-10-31T14:57:25.3330000,https://jooble.org/jdp/5188026256645618453,"ai, data, maintain",False
data analyst,Data Engineer (D365 + Azure + Power BI),jobgether,India,N/A,Not disclosed,Not mentioned,"...This position is posted by Jobgether on behalf of a partner company. We are currently looking for a   Data  Engineer (D365 + Azure + Power BI) in  India  . 
 In this role, you will design and operate robust data pipelines that unify critical business data into a single...",2026-01-02T06:12:29.5570000,https://jooble.org/jdp/7191463422121681006,"azure, bi, data, data pipelines, partner company, pipeline, pipelines, power, power bi",True
data analyst,Python Developer,TheRapidHire Private Limited,India,N/A,Not disclosed,Not mentioned,"...best practices. 
# Develop and maintain  RESTful APIs  for web and mobile applications. 
# Integrate third-party APIs, services, and  data  sources. 
# Work with  databases  like MySQL, PostgreSQL, or MongoDB. 
# Collaborate with front-end developers and other team...",2025-10-29T13:08:36.2500000,https://jooble.org/jdp/-1732611820614926028,"ai, api, apis, bi, data, database, databases, maintain, mobile, mobile applications, mongodb, mysql, party apis, postgresql, restful apis, sql",False
data analyst,Python FastAPI Developer,Whitelotus Corporation Pvt. Ltd,India,N/A,Not disclosed,Not mentioned,"# Design, develop, and deploy RESTful APIs using  FastAPI  and  Python  . 
# Build and maintain scalable  microservices architecture  . 
# Integrate with databases like  PostgreSQL  ,  MySQL  , or  MongoDB  . 
# Implement  authentication and authorization  (JWT, OAuth...",2025-10-31T00:00:00.0000000,https://jooble.org/jdp/-4826470630640226249,"ai, api, apis, apis using, data, database, databases, databases like, fastapi, maintain, mongodb, mysql, postgresql, python, restful apis, sql",False
data analyst,Python Developer,Visko Group,India,N/A,Not disclosed,Not mentioned,"# Develop, test, and maintain backend logic using Python frameworks (Django / Flask / FastAPI). 
# Design and implement RESTful APIs for web and mobile applications. 
# Integrate front-end elements with server-side logic. 
# Work with databases such as MySQL, PostgreSQL...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/6758123575199944171,"ai, api, apis, bi, data, database, databases, fastapi, maintain, maintain backend, mobile, mobile applications, mysql, postgresql, python, restful apis, server, sql, using python",False
data analyst,Python Developer,Treesha Infotech,India,N/A,Not disclosed,Not mentioned,"# Write clean, efficient, and maintainable Python code. 
# Develop backend components and connect applications with databases. 
# Design and implement APIs (RESTful/GraphQL). 
# Collaborate with frontend developers, designers, and other stakeholders. 
# Perform unit...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/-4134611309357748618,"ai, api, apis, data, database, databases, maintain, maintainable, python",False
data analyst,Python Developer,Ozrit,India,N/A,Not disclosed,Not mentioned,"...application issues and performance bottlenecks. 
# Collaborate with developers, designers, and product managers for end-to-end development. 
# Implement security and  data  protection solutions. 
# Participate in code reviews and contribute to continuous improvement....",2025-11-03T17:35:29.3300000,https://jooble.org/jdp/-1629104276531362011,data,False
data analyst,Senior Python Developer (AI/ML),DigiMantra,India,N/A,Not disclosed,Not mentioned,"...# Develop scalable  Python-based backend systems and APIs  (using  Flask  ,  FastAPI  , or  Django REST Framework ). 
# Implement   data  preprocessing, feature engineering, and model optimization  pipelines. 
# Work on  NLP (Natural Language Processing) ,  Computer Vision...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/-6532129283569379971,"api, apis, data, fastapi, pipeline, pipelines, python",True
data analyst,Python Developer,Marktine,India,N/A,Not disclosed,Not mentioned,"# Develop, test, and deploy  backend applications  and  RESTful APIs  using Python. 
# Work with frameworks like  Django  ,  Flask  , or  FastAPI  to create high-performance services. 
# Design and manage  databases  (MySQL, PostgreSQL, or MongoDB). 
# Integrate third...",2025-11-01T00:00:00.0000000,https://jooble.org/jdp/923176426565683857,"api, apis, data, database, databases, fastapi, mongodb, mysql, postgresql, python, restful apis, sql, using python",False
data analyst,Python Developer,Krishna Innovative Software Pvt. Ltd,India,N/A,Not disclosed,Not mentioned,"...databases such as MySQL, PostgreSQL, or MongoDB 
# Participate in code reviews and maintain documentation 
# Implement security and  data  protection measures 
# Stay updated with Python libraries, frameworks, and industry trends 
# Assist in deployment, integration,...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/-179540458999021946,"ai, data, database, databases, maintain, mongodb, mysql, postgresql, python, sql",False
data analyst,Python + FastAPI Developer,Antino,India,N/A,Not disclosed,Not mentioned,"# Develop and maintain  backend services and APIs  using  Python and FastAPI  . 
# Build  scalable and high-performance microservices  . 
# Integrate applications with  databases, caching systems, and third-party services  . 
# Write  clean, maintainable, and well-documented...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/-5450990543590069712,"ai, api, apis, data, database, databases, fastapi, maintain, maintainable, python",False
data analyst,Sr. Python Developer,Moon Technolabs,India,N/A,Not disclosed,Not mentioned,"# Develop, test, and maintain  Python-based applications, APIs, and services  . 
# Design and implement scalable  backend architectures  for web and mobile applications. 
# Collaborate with frontend, mobile, and DevOps teams to ensure seamless integration. 
# Write clean...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/-2902632704844219224,"ai, api, apis, bi, ensure seamless, maintain, ml, mobile, mobile applications, python, seamless, seamless integration",False
data analyst,Python Developer,APPNWEB Technologies,India,N/A,Not disclosed,Not mentioned,"# Design, develop, test, and deploy Python-based applications. 
# Build and maintain backend systems, APIs, and  data  pipelines. 
# Integrate front-end elements developed by other teams. 
# Write reusable, efficient, and scalable code following best practices. 
# Debug...",2025-11-01T16:50:26.8700000,https://jooble.org/jdp/-6868716016637109692,"ai, api, apis, data, maintain, maintain backend, pipeline, pipelines, python",False
data analyst,Sr. Business Analyst + Scrum Master,Excellent Webworld,India,N/A,Not disclosed,Not mentioned,"...product backlogs using tools like  JIRA  or  Azure DevOps  . 
# Support product roadmap development and release planning. 
# Conduct   data  analysis  , process mapping, and business impact assessments. 
# Foster a  culture of collaboration, agility, and accountability...",2025-10-31T00:00:00.0000000,https://jooble.org/jdp/2824198946683877339,"ability, azure, azure devops, bi, data",True
data analyst,Senior Python Developer,BitCot Technologies,India,N/A,Not disclosed,Not mentioned,"# Develop, maintain, and optimize backend systems using  Python  and frameworks such as  Django  or  Flask  . 
# Design and implement  RESTful APIs  and  microservices architecture  . 
# Lead and mentor junior developers, providing guidance on best practices and code ...",2025-10-31T00:00:00.0000000,https://jooble.org/jdp/-5790591180836465432,"ai, api, apis, maintain, mentor junior, python, restful apis",False
data analyst,Python Developer,Alpha-e Barcode Solutions Pvt. Ltd.,India,N/A,Not disclosed,Not mentioned,"...development of Python applications and modules that enhance the ERP platform's capabilities. 
# Performing basic SQL operations, including  data  retrieval and interaction with databases. 
# Assisting in API integration efforts to establish connections between our software and...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/-6783984000122130972,"api, bi, data, database, databases, python, sql",False
data analyst,Python Developer,Tagline Infotech LLP,India,N/A,Not disclosed,Not mentioned,"# In-depth knowledge of Python, Django, and its core principles. 
# Building web applications using Postgres, MySQL, MongoDB, or other popular RDBMS or NoSQL databases. 
# Look into web and mobile-based applications. 
# Experience with cloud computing platforms such ...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/1151719906228943797,"bi, cloud, data, database, databases, mobile, mongodb, mysql, nosql, python, sql",False
data analyst,Senior Data Scientist (Remote from India),jobgether,India,N/A,Not disclosed,Not mentioned,"...This position is posted by Jobgether on behalf of a partner company. We are currently looking for a Senior  Data  Scientist in India. 
 In this role, you will join a mission-driven, globally distributed environment where data plays a central role in advancing large-scale...",2025-12-26T04:15:36.8670000,https://jooble.org/jdp/-1411173725939386586,"data, partner company",True
data analyst,Java Developer,Octal IT Solution LLP,India,N/A,Not disclosed,Not mentioned,"...and ensure smooth integration with front-end and third-party systems. 
# Work with databases like  MySQL, PostgreSQL, or Oracle  for  data  storage and queries. 
# Write  clean, efficient, and scalable code  following best software practices. 
# Collaborate with front-...",2025-11-04T19:49:39.6530000,https://jooble.org/jdp/4306049724890827558,"data, database, databases, databases like, mysql, postgresql, sql",False
data analyst,Java Developer,Nirag InfoTech,India,N/A,Not disclosed,Not mentioned,"# Design, develop, test, and deploy scalable Java-based applications. 
# Write clean, efficient, and maintainable code using best practices. 
# Work with frameworks such as  Spring Boot  ,  Hibernate  , and  JPA  . 
# Develop RESTful APIs for integration with front-end...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/9105279260032946361,"ai, api, apis, maintain, maintainable, maintainable code, restful apis",False
data analyst,Java Developer,GammaStack,India,N/A,Not disclosed,Not mentioned,".... 
# Build and integrate  RESTful APIs  and backend services. 
# Work with  databases  such as MySQL, PostgreSQL, or Oracle for  data  storage and retrieval. 
# Write  clean, modular, and maintainable code  following coding standards. 
# Collaborate with front-end...",2025-11-01T00:00:00.0000000,https://jooble.org/jdp/-2910530382664232209,"ai, api, apis, data, database, databases, maintain, maintainable, maintainable code, mysql, postgresql, restful apis, sql",False
data analyst,Python / Django Developer,ChicMic Studios,India,N/A,Not disclosed,Not mentioned,"...side logic. 
# Manage deployment and maintenance of applications on  cloud platforms (AWS, Azure, etc.) . 
# Implement  security and  data  protection  features. 
# Collaborate with cross-functional teams in an  Agile/Scrum  environment. 
# Debug and troubleshoot...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/-2855514866938613990,"ai, aws, azure, cloud, cloud platforms, data, maintenance",False
data analyst,Java developer,Tagline Infotech LLP,India,N/A,Not disclosed,Not mentioned,"# Develop, test, and maintain Java-based applications. 
# Write clean, efficient, and maintainable code. 
# Collaborate with cross-functional teams (frontend, backend, QA) to deliver solutions. 
# Troubleshoot, debug, and optimize applications for performance. 
# Implement...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/5990862902317609722,"ai, maintain, maintain java, maintainable, maintainable code",False
data analyst,Java Developer,TheRapidHire Private Limited,India,N/A,Not disclosed,Not mentioned,"# Design, develop, and maintain Java-based applications and web services. 
# Write clean, scalable, and reusable code following best practices. 
# Integrate APIs, databases, and third-party systems. 
# Collaborate with front-end developers, testers, and product teams...",2025-10-29T13:08:39.3570000,https://jooble.org/jdp/5487939849307228225,"ai, api, apis, data, database, databases, integrate apis, maintain, maintain java",False
data analyst,Java Developer,Accelgrowth Technology Pvt Ltd,India,N/A,Not disclosed,Not mentioned,"Strong proficiency in Java 8+ and Spring Boot 
 Experience with Restfullapi, Kafka, Mysql, Microservices, Git, Spring Boot, Java, Aws 
 Exposure to frontend technologies (React, Angular) is a plus",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/-1475035430100368576,"api, aws, git, mysql, sql",False
data analyst,Python/Django Developer,Digital4design,India,N/A,Not disclosed,Not mentioned,"# Develop and maintain  web applications  using Python and Django framework. 
# Design and implement  RESTful APIs  for web and mobile applications. 
# Work with databases such as  PostgreSQL, MySQL, or SQLite  . 
# Collaborate with front-end developers to integrate ...",2025-10-31T00:00:00.0000000,https://jooble.org/jdp/6102102667650827096,"ai, api, apis, bi, data, database, databases, maintain, mobile, mobile applications, mysql, postgresql, python, restful apis, sql, using python",False
data analyst,Java Developer,Antino,India,N/A,Not disclosed,Not mentioned,"# Develop, test, and maintain  Java-based applications  . 
# Design and implement  backend modules, APIs, and microservices  . 
# Collaborate with  frontend developers, QA engineers, and product managers  . 
# Integrate applications with  databases, third-party APIs,...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/-1491353595213924400,"ai, api, apis, data, database, databases, maintain, party apis",False
data analyst,Python (Django) Developer,Matrix Marketers,India,N/A,Not disclosed,Not mentioned,"...mobile apps. 
# Write reusable, testable, and efficient code following best coding practices. 
# Integrate third-party APIs and manage  data  between the server and users. 
# Work closely with  front-end developers  to ensure responsive and dynamic user experiences. 
#...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/-3103365776514821323,"api, apis, bi, data, mobile, mobile apps, party apis, server, user experience",False
data analyst,Python Fullstack Developer,Marktine,India,N/A,Not disclosed,Not mentioned,"# Develop, test, and deploy  end-to-end web applications  using Python and modern JavaScript frameworks. 
# Design and build  RESTful APIs  and integrate third-party APIs and services. 
# Work on  frontend interfaces  using React.js, Angular, or Vue.js for seamless user...",2025-11-01T00:00:00.0000000,https://jooble.org/jdp/-6967295482901297346,"api, apis, ml, party apis, python, restful apis, seamless, using python",False
data analyst,Upwork Specialist BDE,MKR Techsoft Private Limited,India,N/A,Not disclosed,Not mentioned,"# Identify and bid on relevant projects on Upwork and similar platforms. 
# Write professional and persuasive business proposals tailored to client requirements. 
# Communicate effectively with international clients via chat, email, or video calls. 
# Negotiate project...",2025-10-30T13:04:36.6900000,https://jooble.org/jdp/8193649216160197897,"ai, bi, email",False
data analyst,Youth Prevention Specialist,"Gang Alternative, Inc",India,N/A,$40k - $45k,Not mentioned,"...intakes, and assessments, identify student needs, and link students to services.
~Administer evaluation tools and collect program  data. 
~Assist with coalition activities and initiatives to educate community stakeholders on substance use issues.
~Maintain systems, procedures...",2025-11-27T23:47:24.1470000,https://jooble.org/jdp/-674747735150121535,"ai, data, maintain",False
